uniqid	distschl	dyear
1000400216	.9	2000
1000400217	7.43	2000
1000400222	1.23	2000
1000400224	5.87	2000
1000400227	1.58	2000
1000400228	1.09	2000
1000400240	3.17	2000
1000400243	11.05	2000
1000400246	.32	2000
1000400247	.48	2000
1000400248	11.16	2000
1000400254	.41	2000
1000400258	.64	2000
1000400259	7.39	2000
1000400283	7.17	2000
1000400286	.37	2000
1000400289	2.16	2000
1000400304	.79	2000
1000400306	1.12	2000
1000400321	.19	2000
1000400323	1.9	2000
1000400325	.94	2000
1000400329	.17	2000
1000400331	.44	2000
1000400333	.5	2000
1000400334	.5	2000
1000400335	4.01	2000
1000400338	7.04	2000
1000400339	2.83	2000
1000400352	1.48	2000
1000400359	4.54	2000
1000400361	1.74	2000
1000400362	.84	2000
1000400365	4.04	2000
1000400367	.34	2000
1000400370	.24	2000
1000400371	.27	2000
1000400372	.17	2000
1000400377	.94	2000
1000400380	.94	2000
1000400389	.2	2000
1000400397	0	2000
1000400398	.68	2000
1000400406	1.88	2000
1000400413	.22	2000
1000400423	.65	2000
1000400427	1.73	2000
1000400430	.7	2000
1000400433	2.75	2000
1000400434	.42	2000
1000400435	2.64	2000
1000400437	.31	2000
1000400443	.35	2000
1000400446	.54	2000
1000400447	.33	2000
1000400449	0	2000
1000400452	.66	2000
1000400454	2.66	2000
1000400457	.29	2000
1000400459	.42	2000
1000400466	.4	2000
1000400470	.41	2000
1000500012	.88	2000
1000500018	5.92	2000
1000500021	.91	2000
1000500025	.32	2000
1000500026	.52	2000
1000500028	.4	2000
1000500032	.29	2000
1000500038	2.14	2000
1000500040	.23	2000
1000500043	.35	2000
1000500054	3.01	2000
1000500058	1.49	2000
1000500064	.31	2000
1000500066	3.22	2000
1000500072	.77	2000
1000500073	.19	2000
1000500078	.38	2000
1000500080	.41	2000
1000500081	.23	2000
1000500083	.36	2000
1000500084	3.54	2000
1000500085	3.9	2000
1000500090	.67	2000
1000500092	1.57	2000
1000500095	.33	2000
1000500096	.33	2000
1000500109	1.66	2000
1000500114	1.63	2000
1000500118	1.17	2000
1000500122	.36	2000
1000500126	.28	2000
1000500128	.37	2000
1000500133	4.59	2000
1000500140	.84	2000
1000500151	.77	2000
1000500154	.48	2000
1000500159	.7	2000
1000500160	1	2000
1000500162	.82	2000
1000500164	.22	2000
1000500169	.19	2000
1000500170	.25	2000
1000500177	.49	2000
1000500178	.3	2000
1000500181	1.44	2000
1000500182	1.44	2000
1000500203	1.1	2000
1000500213	2.25	2000
1000500218	1.36	2000
1000500219	10.66	2000
1000500220	2.18	2000
1000500224	4.13	2000
1000500235	2.14	2000
1000500239	.21	2000
1000500247	.43	2000
1000500255	.72	2000
1000500260	.47	2000
1000500261	.48	2000
1000500264	14.02	2000
1000500268	0	2000
1000500270	.39	2000
1000500271	.39	2000
1000500272	1.25	2000
1000500282	1.3	2000
1000500286	2.9	2000
1000500293	.86	2000
1000500295	.1	2000
1000500297	.29	2000
