uniqid	distwork	wcouncil	dyear
2000900163	.303990131418768	280	2000
2000900165	0	220	2000
2000900166	16.0159449611941	320	2000
2000900172	.639997656245709	230	2000
2000900173	1.24478110525506	230	2000
2000900174	0	260	2000
2000900179	 	0	2000
2000900180	.589868629442184	200	2000
2000900187	13.3481534303438	250	2000
2000900188	4.46447398917274	120	2000
2000900189	0	120	2000
2000900190	6.73274245757255	320	2000
2000900191	4.58313528056941	320	2000
2000900192	22.1457084104347	280	2000
2000900195	0	110	2000
2000900198	.58111100488633	260	2000
2000900202	 	170	2000
2000900203	1.2033740066995	280	2000
2000900206	.895377015563835	260	2000
2000900209	.478016736108685	355	2000
2000900210	.217414350952277	355	2000
2000900211	.801918325018203	355	2000
2000900212	1.50490165791656	355	2000
2000900213	.576909871643743	230	2000
2000900214	2.0414000097972	230	2000
2000900215	15.780288273666	400	2000
2000900222	3.16099810186593	230	2000
2000900223	0	210	2000
2000900224	8.80840604195788	230	2000
2000900225	1.5514335306419	270	2000
2000900226	1.75895650884267	270	2000
2000900228	23.8350124396863	260	2000
2000900230	 	0	2000
2000900231	6.71516410819572	380	2000
2000900235	12.6948178403631	250	2000
2000900236	1.0413995390819	190	2000
2000900238	0	380	2000
2000900239	9.82936213596793	260	2000
2000900240	2.66373966445672	380	2000
2000900241	10.7785435008632	260	2000
2000900245	.515632621155799	130	2000
2000900248	2.02332819878536	130	2000
2000900249	0	130	2000
2000900252	98.6505769319166	260	2000
2000900254	.606382717431821	130	2000
2000900258	2.89630972100706	260	2000
2000900259	3.96091214242376	260	2000
2000900260	3.13138132459143	395	2000
2000900261	1.89066125998287	395	2000
2000900262	1.1059624767595	395	2000
2000900263	3.14414535287413	370	2000
2000900264	1.29807549857472	370	2000
2000900265	2.23439029715043	370	2000
2000900266	32.3027630397153	260	2000
2000900270	18.7985557955924	230	2000
2000900272	.352797392280612	400	2000
2000900276	 	0	2000
2000900277	9.48527474562545	260	2000
2000900279	0	200	2000
2000900280	12.7623547983905	230	2000
2000900281	.522687287008207	290	2000
2000900282	20.4642365359668	230	2000
2000900287	4.17743485885777	250	2000
2000900288	4.01091722676996	250	2000
2000900290	2.32988240046574	250	2000
2000900293	0	390	2000
2000900298	11.1224630815301	320	2000
2000900299	1.73616589069132	380	2000
2000900300	6.55203212751586	260	2000
2000900304	2.09529234237135	120	2000
2000900305	13.0714426518269	120	2000
2000900310	 	0	2000
2000900312	.4891829923454	270	2000
2000900313	13.1948679796351	270	2000
2000900320	11.7331205141684	370	2000
2000900321	3.13178239984837	370	2000
2000900326	5.77037069866399	260	2000
2000900336	 	0	2000
2000900337	0	120	2000
2000900342	2.96349152183704	400	2000
2000900343	1.13756977807957	260	2000
2000900344	19.1640952043137	260	2000
2000900346	14.8162210094207	240	2000
2000900352	0	390	2000
2000900353	0	390	2000
2000900356	2.00731163499841	235	2000
2000900357	27.7094272225176	100	2000
2000900363	.913509715328742	360	2000
2000900364	.62317333062319	360	2000
2000900371	14.5037706131888	300	2000
2000900378	2.58367509567283	300	2000
2000900380	7.21055476367804	300	2000
2000900381	.236027540765903	300	2000
2000900383	 	0	2000
2000900384	.339554119397777	300	2000
2000900386	2.25734179955097	300	2000
2000900387	1.572768260107	300	2000
2000900389	59.3459696693887	270	2000
2000900390	1.27694328294326	0	2000
2000900392	 	0	2000
2000900394	27.7052512711941	300	2000
2000900398	2.50869946386569	230	2000
2000900399	5.07264920923968	230	2000
2000900400	 	0	2000
2000900401	0	380	2000
2000900405	.913140186389801	110	2000
2000900406	2.95860524571968	110	2000
2000900411	 	0	2000
2000900416	17.5803134499929	320	2000
2000900417	5.37398046144569	260	2000
2000900418	0	260	2000
2000900419	31.2034975283221	280	2000
2000900420	2.42707437051278	260	2000
2000900421	.441457812253901	330	2000
2000900423	 	0	2000
2000900424	.423933957120682	330	2000
2000900426	25.2071918507397	260	2000
2000900430	2.42418171761112	320	2000
2000900432	12.3277088301111	260	2000
2000900434	 	0	2000
2000900435	1.84239436603568	260	2000
2000900436	4.32889131302693	260	2000
2000900437	3.59529831863783	260	2000
2000900438	5.56884189037541	260	2000
2000900441	17.9262061797805	260	2000
2000900442	0	320	2000
2000900443	4.28351724637593	250	2000
2000900444	8.81233283529396	250	2000
2000900445	.939513171807612	250	2000
2000900446	0	250	2000
2000900447	0	250	2000
2000900448	11.6437482367148	250	2000
2000900450	.499532781707067	350	2000
2000900452	1.14749509802875	350	2000
2000900453	17.0207367643119	280	2000
2000900455	 	0	2000
2000900457	1.77740625631846	235	2000
2000900458	2.40168690715505	235	2000
2000900459	1.51262057370644	0	2000
2000900461	7.24025752304433	260	2000
2000900464	5.92203360341699	400	2000
2000900468	3.40531599121139	110	2000
2000900469	47.8329522087023	260	2000
2000900470	8.77286179077273	370	2000
2000900471	1.48377693741344	360	2000
2000900476	0	120	2000
2000900477	 	0	2000
2000900481	21.5029690973131	190	2000
2000900488	0	390	2000
2000900489	13.7057915130794	200	2000
2000900490	69.4846059889806	240	2000
2000900491	10.8964669962332	240	2000
2000900494	5.97953643688204	240	2000
2000900495	4.97217105498192	240	2000
2000900496	22.7630345296931	320	2000
2000900498	 	0	2000
2000900500	1.69521503060821	360	2000
2000900502	1.540597286769	380	2000
2000900503	0	230	2000
2000900504	1.70608821577315	230	2000
2000900506	1.26755276024314	230	2000
2000900507	1.58343873717534	0	2000
2000900508	12.4990879667278	290	2000
2000900509	2.49545587017683	230	2000
2000900513	.616883295283638	380	2000
2000900517	10.2188596721943	200	2000
2000900518	1.18511602807489	400	2000
2000900519	14.5821104782538	120	2000
2000900521	.555409758646713	360	2000
2000900523	45.3370359151669	0	2000
2000900524	1.93196790863617	310	2000
2000900526	7.88162419809521	190	2000
2000900527	.744994630853136	330	2000
2000900532	1.07902761607481	0	2000
2000900533	37.0659147455138	230	2000
2000900535	5.73456153827822	0	2000
2000900536	0	230	2000
2000900538	6.09028534851637	0	2000
2000900539	13.3256138695371	230	2000
2000900541	4.50398619960712	0	2000
2000900542	7.75363457842209	0	2000
2000900545	6.99166189113862	350	2000
2000900548	16.307318418428	260	2000
2000900550	0	310	2000
2000900553	6.94310542912896	330	2000
2000900556	6.69238373077934	350	2000
2000900560	12.8366476153239	260	2000
2000900563	1.7031735084835	235	2000
2000900564	0	235	2000
2000900567	.531007532903254	360	2000
2000900569	2.5449310403231	330	2000
2000900572	6.11544830736063	380	2000
2000900573	4.780974063933	260	2000
2000900575	5.37422785151504	400	2000
2000900580	1.323057933874	260	2000
2000900581	1.55656673483664	260	2000
2000900583	0	320	2000
2000900588	 	0	2000
2000900589	0	230	2000
2000900591	4.05349232144333	230	2000
2000900596	19.4063042334186	340	2000
2000900597	.117239071985409	250	2000
2000900599	4.56316666362297	250	2000
2000900600	0	360	2000
2000900602	2.03795313979493	340	2000
2000900603	.40282254157383	340	2000
2000900604	 	0	2000
2000900605	4.36384463518123	260	2000
2000900606	.46331522746398	260	2000
2000900611	.439113880445608	235	2000
2000900612	.56083598315372	235	2000
2000900615	10.0777879021142	240	2000
2000900616	162.231296690867	100	2000
2000900618	0	390	2000
2000900619	6.79651969760995	390	2000
2000900620	1.87737795874992	235	2000
2000900624	.465116114534855	330	2000
2000900625	0	260	2000
2000900630	.724671649783542	330	2000
2000900631	0	340	2000
2000900633	37.9948455583123	340	2000
2000900634	1.46931957041346	340	2000
2000900636	0	330	2000
2000900647	1.37533159637958	150	2000
2001000001	5.26227327302564	350	2000
2001000007	13.0360459112416	230	2000
2001000008	15.4161526977388	230	2000
2001000009	4.76634083967985	210	2000
2001000012	4.67258750586867	170	2000
2001000016	5.32241383208784	380	2000
2001000020	 	230	2000
2001000022	20.7547015396512	330	2000
2001000025	0	280	2000
2001000026	19.3269221553769	260	2000
2001000029	91.9527327865467	0	2000
2001000030	.145619366843837	270	2000
2001000033	8.98309061515022	270	2000
2001000034	5.09668568777789	355	2000
2001000041	0	170	2000
2001000046	2.47396442981705	380	2000
2001000050	0	230	2000
2001000053	6.52547316292083	230	2000
2001000056	17.6032465471571	250	2000
2001000057	3.40882677764653	230	2000
2001000058	0	230	2000
2001000061	.0807774721070176	280	2000
2001000062	0	280	2000
2001000065	10.5995649910739	250	2000
2001000068	1.94339908407923	260	2000
2001000069	 	0	2000
2001000070	0	200	2000
2001000071	1.62946003326255	210	2000
2001000072	 	0	2000
2001000074	0	320	2000
2001000077	10.5784686982569	320	2000
2001000079	0	120	2000
2001000080	.982177173426465	120	2000
2001000089	2.36810662766692	260	2000
2001000093	1.41755458448696	360	2000
2001000095	22.4128531427839	360	2000
2001000098	7.46683359932442	355	2000
2001000100	70.889961207494	0	2000
2001000101	6.98258419211684	110	2000
2001000103	0	110	2000
2001000105	5.57202745865452	110	2000
2001000106	20.7346310553142	100	2000
2001000107	17.4847193000059	100	2000
2001000110	23.8595305905208	100	2000
2001000111	18.5271313483766	100	2000
2001000113	1.60850862602598	380	2000
2001000125	.678457810036851	190	2000
2001000127	11.8811252413229	330	2000
2001000131	5.19451556932887	380	2000
2001000132	2.04345124727751	320	2000
2001000136	199.817163867372	100	2000
2001000138	3.36580094479754	350	2000
2001000139	4.49179975065674	350	2000
2001000142	.439523605736939	350	2000
2001000143	22.0014461342885	230	2000
2001000144	1.57038753178953	130	2000
2001000148	0	180	2000
2001000149	4.81582807002077	180	2000
2001000153	113.136750178711	350	2000
2001000155	0	360	2000
2001000157	17.0362906882902	270	2000
2001000158	1.74502836653162	310	2000
2001000163	0	330	2000
2001000165	11.6538148260559	330	2000
2001000167	 	0	2000
2001000168	9.85927482120262	280	2000
2001000169	4.81979470517158	280	2000
2001000172	 	170	2000
2001000173	1.99545984675212	280	2000
2001000177	5.54209527164591	100	2000
2001000179	6.63613215661051	380	2000
2001000181	14.8495420804818	270	2000
2001000189	2.75013319529098	0	2000
2001000190	1.5311394449886	260	2000
2001000191	6.02844092614334	260	2000
2001000193	0	235	2000
2001000198	0	235	2000
2001000205	9.73850758586756	260	2000
2001000206	8.94126886968511	260	2000
2001000218	0	270	2000
2001000219	.909822510163384	190	2000
2001000220	1.75408209614031	190	2000
2001000222	 	0	2000
2001000223	.98910312910232	190	2000
2001000225	15.5756081101188	310	2000
2001000226	13.9295373218209	370	2000
2001000227	.437360263398494	190	2000
2001000228	3.262881701809	190	2000
2001000229	12.1990301253829	370	2000
2001000240	.611308432789864	110	2000
2001000242	0	230	2000
2001000245	8.82619397022295	230	2000
2001000246	4.30400975835325	230	2000
2001000247	4.71681629915773	230	2000
2001000248	6.33987421010859	230	2000
2001000249	.844037913840368	230	2000
2001000250	5.96682335920882	230	2000
2001000251	.442820505396938	100	2000
2001000252	4.86958889435238	100	2000
2001000253	.569956138663319	100	2000
2001000254	6.82152864100122	100	2000
2001000255	.438463225367875	100	2000
2001000257	0	360	2000
2001000259	2.12004834850529	360	2000
2001000261	1.2852921846802	230	2000
2001000263	.794996855339693	280	2000
2001000264	0	130	2000
2001000265	1.4550013745698	130	2000
2001000266	.295465734053883	130	2000
2001000267	.120830459735946	130	2000
2001000272	7.53665078134844	230	2000
2001000274	1.6476179775664	310	2000
2001000277	 	170	2000
2001000280	6.4124145998212	100	2000
2001000281	3.49401001715794	100	2000
2001000286	27.8844562435777	310	2000
2001000287	4.94107235324479	355	2000
2001000290	3.88273022498345	355	2000
2001000291	4.57394796647273	400	2000
2001000292	7.07209763790065	260	2000
2001000294	4.73285072657062	290	2000
2001000296	5.62840448084535	170	2000
2001000297	3.94878930812977	170	2000
2001000298	21.7817625090349	170	2000
2001000300	.70110270289024	190	2000
2001000303	18.7455408030817	370	2000
2001000304	30.2791138575752	270	2000
2001000311	.387197623959652	130	2000
2001000313	0	130	2000
2001000314	.50690630297916	130	2000
2001000315	1.8749413324155	130	2000
2001000316	6.93401218631753	180	2000
2001000321	.625112005340064	0	2000
2001000327	2.24926877006729	280	2000
2001000333	4.5351085984792	100	2000
2001000334	5.34158216261811	100	2000
2001000337	2.60209396448322	260	2000
2001000338	1.41881630642066	0	2000
2001000339	11.9262121989912	230	2000
2001000340	.497980923329398	210	2000
2001000341	7.13691284800368	380	2000
2001000342	6.31012678161065	380	2000
2001000343	14.3784611485374	380	2000
2001000346	1.58113883008419	170	2000
2001000347	0	170	2000
2001000348	7.29341189019241	170	2000
2001000349	9.29634982130083	170	2000
2001000353	6.36920717201129	350	2000
2001000354	0	350	2000
2001000355	3.3137410882566	350	2000
2001000356	 	0	2000
2001000360	13.6685953923584	320	2000
2001000361	8.92085758209378	260	2000
2001000362	7.13549577815025	260	2000
2001000364	11.2459390892891	240	2000
2001000366	1.72789380460722	240	2000
2001000373	.282311884269862	100	2000
2001000374	.33203915431768	100	2000
2001000375	1.04905719577152	100	2000
2001000376	 	180	2000
2001000381	11.6731360767416	270	2000
2001000383	11.6731360767416	270	2000
2001000384	0	330	2000
2001000385	1.91224815335249	330	2000
2001000386	1.96977156035922	260	2000
2001000391	 	290	2000
2001000393	20.1564122055489	0	2000
2001000394	6.47992716008444	250	2000
2001000395	24.4074757605124	390	2000
2001000397	70.3338285748757	260	2000
2001000398	7.53413565049104	250	2000
2001000399	.566717742796182	250	2000
2001000404	4.03261552841329	350	2000
2001000405	2.35790160948247	100	2000
2001000406	2.42923856383024	100	2000
2001000410	0	270	2000
2001000412	12.6824949043948	230	2000
2001000414	.366742416417845	120	2000
2001000415	1.36838152574492	120	2000
2001000418	.746729536043674	190	2000
2001000420	31.9377169503394	260	2000
2001000422	11.060844678414	250	2000
2001000424	.588194695657824	370	2000
2001000427	1.98676118343398	250	2000
2001000428	4.57586243237272	250	2000
2001000429	11.0831173412538	250	2000
2001000430	6.24039261585359	180	2000
2001000431	 	0	2000
2001000435	.363455636907725	300	2000
2001000436	.43924594477354	300	2000
2001000444	5.02960405996337	340	2000
2001000446	0	340	2000
2001000451	5.85995375408373	260	2000
2001000456	1.04821991967335	310	2000
2001000457	.932601737077516	310	2000
2001000459	3.50006471368745	310	2000
2001000461	1.186247866173	100	2000
2001000462	196.793820472087	390	2000
2001000464	9.95552610362707	400	2000
2001000468	.377058350921976	250	2000
2001000470	24.3707247532772	230	2000
2001000473	5.48224853504472	250	2000
2001000474	6.64320171302965	250	2000
2001000475	24.5610049468665	250	2000
2001000476	8.03688024049133	250	2000
2001000482	1.37307246713347	270	2000
