UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
869210545	.96	1	7	4	 	Local Authority	0	Secondary	0	2.05660399688418
871441482	.7	1	7	1	 	Local Authority	Primary	0	0	.3641661708616
873477450	.61	1	7	3	 	Local Authority	0	0	Special	31.1920300878285
876572650	.48	1	7	3	 	Local Authority	Primary	0	0	.272800293254974
878008679	.66	1	7	2	 	Local Authority	Primary	0	0	1.14296544129733
883074599	1.66	1	7	2	 	Local Authority	Primary	0	0	5.96880431912456
885135672	.33	1	7	4	 	Local Authority	0	Secondary	0	19.7718300872732
888976074	1.57	1	7	4	 	Local Authority	0	Secondary	0	.476917183586417
897724084	2.65	1	7	4	 	Local Authority	0	Secondary	0	1.30855072503896
898922338	.98	1	7	1	 	Local Authority	Primary	0	0	.377828003197222
900449162	1.44	1	7	1	 	Local Authority	Primary	0	0	.928691552669669
903688833	.42	1	7	2	 	Local Authority	Primary	0	0	.698343754894393
904266346	1.32	1	7	1	 	Local Authority	Primary	0	0	.0382099463490856
912549925	.95	1	7	3	 	Local Authority	0	Secondary	0	6.87666147196443
926133251	1.62	1	7	2	 	Local Authority	Primary	0	0	.82270590127943
930200853	1.15	1	7	1	 	Local Authority	Primary	0	0	.237592087410334
931584766	.66	1	7	4	 	Local Authority	0	Secondary	0	.230158640941417
933257384	2.7	1	7	3	 	Local Authority	0	Secondary	0	3.53596945688166
937337457	.7	1	7	3	 	Local Authority	0	Secondary	0	2.2759387074348
938701030	1.21	1	7	3	 	Local Authority	Primary	0	0	.99231093917179
945204683	.26	1	7	1	 	Local Authority	Primary	0	0	5.98995400650122
945822406	1.51	1	7	4	 	Local Authority	0	Secondary	0	3.56248859647298
946710925	1.29	1	7	2	 	Local Authority	Primary	0	0	.418055020302352
947322800	.2	1	7	2	 	Local Authority	Primary	0	0	1.82318539923947
955423215	.72	1	7	1	 	Local Authority	Primary	0	0	.363352445980483
955495011	.65	1	7	3	 	Local Authority	Primary	0	0	3.21255676992641
956462730	.41	1	7	4	 	Local Authority	0	Secondary	0	4.59166636418632
956836283	.55	1	7	1	 	Local Authority	Primary	0	0	.874275128320599
957745897	.86	1	7	2	 	Local Authority	Primary	0	0	.196824795185972
958842040	.84	1	7	4	 	Local Authority	0	Secondary	0	.440641577702332
961104586	.95	1	7	3	 	Local Authority	0	Secondary	0	20.2906742125539
965464763	.96	1	7	4	 	Local Authority	0	Secondary	0	5.27746766925199
967184497	.7	1	7	3	 	Local Authority	Primary	0	0	.685381645508544
972281295	1.53	1	7	4	 	Local Authority	0	Secondary	0	1.05589109286896
974260146	.31	1	7	3	 	Independent	Primary	Secondary	0	11.136398026292
974296910	1.6	1	7	3	 	Local Authority	Primary	0	0	.358520571236854
974885366	.3	1	7	1	 	Local Authority	Primary	0	0	.573288757957105
981665795	.84	1	7	4	 	Local Authority	0	Secondary	0	.673902811984043
985579706	1.6	1	7	2	 	Local Authority	Primary	0	0	.573467523056014
987562752	1.44	1	7	1	 	Local Authority	Primary	0	0	.488144445835451
987844910	1.72	1	7	1	 	Local Authority	Primary	0	0	.695785167993685
988425697	1.8	1	7	1	 	Local Authority	Primary	0	0	.778946082858114
989070680	2.47	1	7	4	 	Independent	Primary	Secondary	0	1.83142021393235
989333061	.54	1	7	4	 	Local Authority	0	Secondary	0	1.24083238191143
992988847	.84	1	7	2	 	Local Authority	Primary	0	0	.0425205832509386
995262909	1.53	1	7	3	 	Local Authority	0	Secondary	0	.560350782992225
1003643173	.76	1	7	3	 	Local Authority	Primary	0	0	.490784066571033
1004953325	.82	1	7	4	 	Local Authority	0	Secondary	0	.495663192097214
1009316133	1.51	1	7	4	 	Local Authority	0	Secondary	0	1.17638854125667
1017313065	1.65	1	7	4	 	Local Authority	Primary	0	0	3.29286288812638
1023574565	.94	1	7	4	 	Local Authority	0	Secondary	0	1.26034638096041
1025743243	1.68	1	7	3	 	Local Authority	0	Secondary	0	.717609921893503
1039025756	1.91	1	7	4	 	Local Authority	0	Secondary	0	1.226988590004
1041864265	.83	1	7	2	 	Local Authority	Primary	0	0	.124277914369368
1044483819	1.32	1	7	4	 	Local Authority	0	Secondary	0	.806535802057168
1053767792	.48	1	7	3	 	Local Authority	Primary	0	0	1.80509778128499
1070466778	.18	1	7	2	 	Local Authority	Primary	0	0	.155589202710214
1071211128	.56	1	7	3	 	Independent	Primary	Secondary	0	.714963635438894
1072653570	3.43	1	7	2	 	Local Authority	Primary	0	0	.130698125464752
1082903916	1.37	1	7	3	 	Local Authority	0	Secondary	0	3.43552412304149
1084570294	.84	1	7	1	 	Local Authority	Primary	0	0	.328415894865032
1088629496	.97	1	7	2	 	Local Authority	Primary	0	0	.618865090306442
1096429355	.72	1	7	1	 	Local Authority	Primary	0	0	.595124356752435
1099058959	.57	1	7	1	 	Local Authority	Primary	0	0	.585030768421627
1100016437	1.18	1	7	3	 	Local Authority	Primary	0	0	.548876124457969
1111608693	1.24	1	7	2	 	Local Authority	Primary	0	0	.741201726927292
